Consonantal Root: س م و

Occurrences
((3:36:16) sammaytuhā)
((7:71:12) sammaytumūhā)
((12:40:7) sammaytumūhā)
((13:33:13) sammūhum)
((22:78:19) sammākumu)
((53:23:5) sammaytumūhā)
((53:27:6) layusammūna)
((76:18:3) tusammā)


((1:1:1) bis'mi)
((2:31:3) l-asmāa)
((2:31:11) bi-asmāi)
((2:33:4) bi-asmāihim)
((2:33:7) bi-asmāihim)
((2:114:10) us'muhu)
((3:45:10) us'muhu)
((5:4:23) is'ma)
((6:118:4) us'mu)
((6:119:7) us'mu)
((6:121:6) us'mu)
((6:138:18) is'ma)
((7:71:11) asmāin)
((7:180:2) l-asmāu)
((7:180:10) asmāihi)
((11:41:4) bis'mi)
((12:40:6) asmāan)
((17:110:11) l-asmāu)
((19:7:5) us'muhu)
((20:8:7) l-asmāu)
((22:28:5) is'ma)
((22:34:6) is'ma)
((22:36:11) is'ma)
((22:40:25) us'mu)
((24:36:9) us'muhu)
((27:30:5) bis'mi)
((49:11:30) l-s'mu)
((53:23:4) asmāon)
((55:78:2) us'mu)
((56:74:2) bi-is'mi)
((56:96:2) bi-is'mi)
((59:24:7) l-asmāu)
((61:6:23) us'muhu)
((69:52:2) bi-is'mi)
((73:8:2) is'ma)
((76:25:2) is'ma)
((87:1:2) is'ma)
((87:15:2) is'ma)
((96:1:2) bi-is'mi)


((2:19:4) l-samāi)
((2:22:6) wal-samāa)
((2:22:10) l-samāi)
((2:29:12) l-samāi)
((2:29:15) samāwātin)
((2:33:15) l-samāwāti)
((2:59:15) l-samāi)
((2:107:7) l-samāwāti)
((2:116:10) l-samāwāti)
((2:117:2) l-samāwāti)
((2:144:6) l-samāi)
((2:164:4) l-samāwāti)
((2:164:21) l-samāi)
((2:164:39) l-samāi)
((2:255:16) l-samāwāti)
((2:255:43) l-samāwāti)
((2:284:4) l-samāwāti)
((3:5:11) l-samāi)
((3:29:14) l-samāwāti)
((3:83:9) l-samāwāti)
((3:109:4) l-samāwāti)
((3:129:4) l-samāwāti)
((3:133:8) l-samāwātu)
((3:180:25) l-samāwāti)
((3:189:3) l-samāwāti)
((3:190:4) l-samāwāti)
((3:191:11) l-samāwāti)
((4:126:4) l-samāwāti)
((4:131:4) l-samāwāti)
((4:131:25) l-samāwāti)
((4:132:4) l-samāwāti)
((4:153:9) l-samāi)
((4:170:18) l-samāwāti)
((4:171:47) l-samāwāti)
((5:17:31) l-samāwāti)
((5:18:25) l-samāwāti)
((5:40:7) l-samāwāti)
((5:97:19) l-samāwāti)
((5:112:15) l-samāi)
((5:114:11) l-samāi)
((5:120:3) l-samāwāti)
((6:1:5) l-samāwāti)
((6:3:4) l-samāwāti)
((6:6:17) l-samāa)
((6:12:5) l-samāwāti)
((6:14:7) l-samāwāti)
((6:35:16) l-samāi)
((6:73:4) l-samāwāti)
((6:75:5) l-samāwāti)
((6:79:6) l-samāwāti)
((6:99:5) l-samāi)
((6:101:2) l-samāwāti)
((6:125:20) l-samāi)
((7:40:11) l-samāi)
((7:54:6) l-samāwāti)
((7:96:11) l-samāi)
((7:158:12) l-samāwāti)
((7:162:14) l-samāi)
((7:185:5) l-samāwāti)
((7:187:18) l-samāwāti)
((8:11:9) l-samāi)
((8:32:15) l-samāi)
((9:36:14) l-samāwāti)
((9:116:5) l-samāwāti)
((10:3:6) l-samāwāti)
((10:6:10) l-samāwāti)
((10:18:22) l-samāwāti)
((10:24:8) l-samāi)
((10:31:5) l-samāi)
((10:55:6) l-samāwāti)
((10:61:32) l-samāi)
((10:66:6) l-samāwāti)
((10:68:11) l-samāwāti)
((10:101:5) l-samāwāti)
((11:7:4) l-samāwāti)
((11:44:5) wayāsamāu)
((11:52:8) l-samāa)
((11:107:5) l-samāwātu)
((11:108:10) l-samāwātu)
((11:123:3) l-samāwāti)
((12:101:11) l-samāwāti)
((12:105:5) l-samāwāti)
((13:2:4) l-samāwāti)
((13:15:5) l-samāwāti)
((13:16:4) l-samāwāti)
((13:17:3) l-samāi)
((14:2:6) l-samāwāti)
((14:10:7) l-samāwāti)
((14:19:6) l-samāwāti)
((14:24:15) l-samāi)
((14:32:4) l-samāwāti)
((14:32:8) l-samāi)
((14:38:18) l-samāi)
((14:48:6) wal-samāwātu)
((15:14:6) l-samāi)
((15:16:4) l-samāi)
((15:22:6) l-samāi)
((15:85:3) l-samāwāti)
((16:3:2) l-samāwāti)
((16:10:5) l-samāi)
((16:49:5) l-samāwāti)
((16:52:4) l-samāwāti)
((16:65:4) l-samāi)
((16:73:11) l-samāwāti)
((16:77:3) l-samāwāti)
((16:79:8) l-samāi)
((17:44:3) l-samāwātu)
((17:55:5) l-samāwāti)
((17:92:3) l-samāa)
((17:93:10) l-samāi)
((17:95:12) l-samāi)
((17:99:7) l-samāwāti)
((17:102:9) l-samāwāti)
((18:14:9) l-samāwāti)
((18:26:8) l-samāwāti)
((18:40:12) l-samāi)
((18:45:9) l-samāi)
((18:51:4) l-samāwāti)
((19:65:2) l-samāwāti)
((19:90:2) l-samāwātu)
((19:93:5) l-samāwāti)
((20:4:5) wal-samāwāti)
((20:6:4) l-samāwāti)
((20:53:12) l-samāi)
((21:4:6) l-samāi)
((21:16:3) l-samāa)
((21:19:4) l-samāwāti)
((21:30:6) l-samāwāti)
((21:32:2) l-samāa)
((21:56:5) l-samāwāti)
((21:104:3) l-samāa)
((22:15:14) l-samāi)
((22:18:9) l-samāwāti)
((22:31:12) l-samāi)
((22:63:7) l-samāi)
((22:64:4) l-samāwāti)
((22:65:16) l-samāa)
((22:70:8) l-samāi)
((23:18:3) l-samāi)
((23:71:6) l-samāwātu)
((23:86:4) l-samāwāti)
((24:35:3) l-samāwāti)
((24:41:9) l-samāwāti)
((24:42:3) l-samāwāti)
((24:43:20) l-samāi)
((24:64:6) l-samāwāti)
((25:2:4) l-samāwāti)
((25:6:7) l-samāwāti)
((25:25:3) l-samāu)
((25:48:11) l-samāi)
((25:59:3) l-samāwāti)
((25:61:5) l-samāi)
((26:4:6) l-samāi)
((26:24:3) l-samāwāti)
((26:187:5) l-samāi)
((27:25:8) l-samāwāti)
((27:60:3) l-samāwāti)
((27:60:8) l-samāi)
((27:64:9) l-samāi)
((27:65:6) l-samāwāti)
((27:75:5) l-samāi)
((27:87:8) l-samāwāti)
((29:22:8) l-samāi)
((29:34:9) l-samāi)
((29:44:3) l-samāwāti)
((29:52:10) l-samāwāti)
((29:61:5) l-samāwāti)
((29:63:6) l-samāi)
((30:8:8) l-samāwāti)
((30:18:4) l-samāwāti)
((30:22:4) l-samāwāti)
((30:24:9) l-samāi)
((30:25:5) l-samāu)
((30:26:4) l-samāwāti)
((30:27:14) l-samāwāti)
((30:48:9) l-samāi)
((31:10:2) l-samāwāti)
((31:10:20) l-samāi)
((31:16:14) l-samāwāti)
((31:20:9) l-samāwāti)
((31:25:5) l-samāwāti)
((31:26:4) l-samāwāti)
((32:4:4) l-samāwāti)
((32:5:4) l-samāi)
((33:72:5) l-samāwāti)
((34:1:7) l-samāwāti)
((34:2:12) l-samāi)
((34:3:19) l-samāwāti)
((34:9:10) l-samāi)
((34:9:22) l-samāi)
((34:22:13) l-samāwāti)
((34:24:5) l-samāwāti)
((35:1:4) l-samāwāti)
((35:3:14) l-samāi)
((35:27:7) l-samāi)
((35:38:5) l-samāwāti)
((35:40:18) l-samāwāti)
((35:41:4) l-samāwāti)
((35:44:23) l-samāwāti)
((36:28:10) l-samāi)
((36:81:4) l-samāwāti)
((37:5:2) l-samāwāti)
((37:6:3) l-samāa)
((38:10:4) l-samāwāti)
((38:27:3) l-samāa)
((38:66:2) l-samāwāti)
((39:5:2) l-samāwāti)
((39:21:7) l-samāi)
((39:38:5) l-samāwāti)
((39:44:7) l-samāwāti)
((39:46:4) l-samāwāti)
((39:63:3) l-samāwāti)
((39:67:11) wal-samāwātu)
((39:68:7) l-samāwāti)
((40:13:8) l-samāi)
((40:37:2) l-samāwāti)
((40:57:2) l-samāwāti)
((40:64:7) wal-samāa)
((41:11:4) l-samāi)
((41:12:3) samāwātin)
((41:12:9) samāin)
((41:12:12) l-samāa)
((42:4:4) l-samāwāti)
((42:5:2) l-samāwātu)
((42:11:2) l-samāwāti)
((42:12:3) l-samāwāti)
((42:29:4) l-samāwāti)
((42:49:3) l-samāwāti)
((42:53:7) l-samāwāti)
((43:9:5) l-samāwāti)
((43:11:4) l-samāi)
((43:82:3) l-samāwāti)
((43:84:4) l-samāi)
((43:85:5) l-samāwāti)
((44:7:2) l-samāwāti)
((44:10:4) l-samāu)
((44:29:4) l-samāu)
((44:38:3) l-samāwāti)
((45:3:3) l-samāwāti)
((45:5:8) l-samāi)
((45:13:5) l-samāwāti)
((45:22:3) l-samāwāti)
((45:27:3) l-samāwāti)
